week,visits,unique_visitors,total_pages,total_time_hours,political_score,quality_index,ad_total_size_pct
2021-W22,604531,372366,1505918.222846369,173547.1369444444,-13.461538461538463,-0.12079422727272729,102.72
2021-W23,618047,359864,1371471.997425816,160434.7505555556,-4.054054054054054,0.041315000000000004,111.67999999999999
2021-W24,685541,320265,1597693.723761092,207262.0152777778,2.6315789473684204,0.002961755555555561,103.1
2021-W25,831984,397262,2117190.777800344,261433.5994444444,7.692307692307692,-0.07933209090909091,135.04000000000002
2021-W26,700824,365007,1620658.72432651,195635.1394444444,4.3478260869565215,-0.022002658536585368,128.54
2021-W27,610212,310519,1473677.363716862,199035.2755555556,-11.76470588235294,-0.26146636,8.81
2021-W28,502458,260959,1168756.651636765,143647.2061111111,1.3157894736842113,-0.09030284,17.75
2021-W29,574855,340221,1258186.000100673,271313.2075,5.172413793103448,0.057070551020408165,173.35
2021-W30,632760,342621,1723683.057305342,251404.3302777778,-1.851851851851852,0.10874348837209301,12.72
2021-W31,723238,398034,1996623.999919739,232461.7452777778,18.75,-0.16251326923076923,57.31
2021-W32,655397,383927,1971702.999929168,275569.4719444445,-1.351351351351351,-0.06717698113207547,47.56
2021-W33,496931,310731,1300811.397140153,171933.3841666667,1.351351351351351,-0.11705672,11.44
2021-W34,482726,280109,1358884.999935111,146093.4816666667,2.0,-0.14648138461538462,57.82
2021-W35,610193,315405,1681768.812285642,236482.2766666667,10.0,0.026776673469387755,84.37
2021-W36,522073,294334,1488943.597580715,257436.5766666667,-8.881784197001252e-16,0.016858069767441863,189.92000000000002
2021-W37,503449,294691,1701421.92848842,276209.1994444444,9.090909090909092,-0.178950375,47.29
2021-W38,447345,277223,1559491.783603551,267258.1111111111,-6.363636363636363,-0.1604890465116279,137.71
2021-W39,465493,264712,1507279.000083272,191886.7494444444,-11.538461538461538,0.035241895833333335,80.14
2021-W40,416979,251826,1853749.000045829,278923.3047222222,0.0,-0.11343191304347826,228.78
2021-W41,502592,303183,1383701.358190824,122041.0266666667,2.0,0.04572930434782609,202.7
2021-W42,410232,301626,1145569.807037593,183603.1113888889,32.5,-0.011991450980392155,20.38
2021-W43,366395,267419,1327401.071888274,372228.2697222222,-4.440892098500626e-16,-0.053255083333333335,204.52
2021-W44,377539,280060,1381529.087864774,325745.0625,5.263157894736842,-0.053447636363636364,22.82
2021-W46,429525,289318,1059158.999990387,123398.7669444444,-1.724137931034483,-0.20680291803278686,131.5
2021-W47,446115,321637,1105806.000013718,99240.89722222222,13.157894736842104,0.03725278571428572,54.370000000000005
2021-W50,676237,368419,2064929.728208631,617788.0822222222,0.0,0.03021932558139535,59.239999999999995
2021-W51,528057,293803,2017610.974700275,526920.8533333334,0.0,0.15913866000000002,124.07
2021-W52,341014,208031,1208594.02630952,262562.3805555556,20.0,-0.09413051515151516,34.629999999999995
