,quality_index,political_score,visits,unique_visitors,total_pages,total_time_hours
quality_index,1.0,0.05073792208253808,-0.214989036134221,-0.19127158621070245,-0.1991980673446528,-0.22451961981958843
political_score,0.05073792208253808,1.0,0.035254862764198674,0.011087652255503958,-0.03685630053897758,-0.011397247454629363
visits,-0.214989036134221,0.035254862764198674,1.0,0.9741760060042179,0.9115887749022378,0.7142839798167591
unique_visitors,-0.19127158621070245,0.011087652255503958,0.9741760060042179,1.0,0.9291024540350576,0.6676773163563797
total_pages,-0.1991980673446528,-0.03685630053897758,0.9115887749022378,0.9291024540350576,1.0,0.7352207569978036
total_time_hours,-0.22451961981958843,-0.011397247454629363,0.7142839798167591,0.6676773163563797,0.7352207569978036,1.0
