,quality_index,political_score,visits,unique_visitors,total_pages,total_time_hours
quality_index,1.0,0.03749568646157525,-0.18312534086169838,-0.15848137938863294,-0.1497200306991459,-0.1995553065842758
political_score,0.03749568646157525,1.0,-0.026378786147033956,-0.04693920371891554,-0.06472888725099732,0.014782558971100888
visits,-0.18312534086169838,-0.026378786147033956,1.0,0.9614071758019659,0.9109455781137793,0.7159280198804115
unique_visitors,-0.15848137938863294,-0.04693920371891554,0.9614071758019659,1.0,0.9320045999363313,0.6368466251915612
total_pages,-0.1497200306991459,-0.06472888725099732,0.9109455781137793,0.9320045999363313,1.0,0.6911342643433369
total_time_hours,-0.1995553065842758,0.014782558971100888,0.7159280198804115,0.6368466251915612,0.6911342643433369,1.0
