,ad_total_size_pct,quality_index,political_score,visits,unique_visitors,total_pages,total_time_hours
ad_total_size_pct,1.0,0.04870568494997209,0.023329560799744554,-0.28884001355762484,-0.10239319270399468,-0.3089460106498633,-0.3295815639696546
quality_index,0.04870568494997209,1.0,-0.166536655700062,-0.64248468778284,-0.624957312328009,-0.6528902654409354,-0.6509808613176582
political_score,0.023329560799744554,-0.166536655700062,1.0,0.188943182880558,0.21148028595127422,0.154114036273044,0.10346409041091688
visits,-0.28884001355762484,-0.64248468778284,0.188943182880558,1.0,0.9726504920306993,0.931761722751738,0.8127155550164609
unique_visitors,-0.10239319270399468,-0.624957312328009,0.21148028595127422,0.9726504920306993,1.0,0.8988636277908746,0.7419903050099268
total_pages,-0.3089460106498633,-0.6528902654409354,0.154114036273044,0.931761722751738,0.8988636277908746,1.0,0.8517478382063858
total_time_hours,-0.3295815639696546,-0.6509808613176582,0.10346409041091688,0.8127155550164609,0.7419903050099268,0.8517478382063858,1.0
